rank,lForm,lemma,pos,subLemma,wType,frequency,pmw,K_acc
1320,アイ,愛,名詞-普通名詞-一般,,漢,7272,69.5137326,B
1774,アイサツ,挨拶,名詞-普通名詞-サ変可能,,漢,5334,50.9882082,A
1471,アイスル,愛する,動詞-一般,,混,6456,61.7135118,A
228,アイダ,間,名詞-普通名詞-副詞可能,,和,38094,364.1441323,A
299,アイテ,相手,名詞-普通名詞-一般,,和,28953,276.7644527,B
484,アウ,会う,動詞-一般,,和,18940,181.0492431,B
925,アウ,合う,動詞-非自立可能,,和,10279,98.2579287,B
2601,アオイ,青い,形容詞-一般,,和,3486,33.3230022,B
1793,アカ,赤,名詞-普通名詞-一般,,和,5281,50.4815762,A
1555,アカイ,赤い,形容詞-一般,,和,6096,58.2722379,A
2303,アカチャン,赤ちゃん,名詞-普通名詞-一般,,和,4024,38.4657948,A
838,アガル,上がる,動詞-一般,,和,11371,108.6964595,A
1374,アカルイ,明るい,形容詞-一般,,和,6925,66.1967269,A
1357,アキ,秋,名詞-普通名詞-副詞可能,,和,7027,67.1717545,B
732,アキラカ,明らか,形状詞-一般,,和,12887,123.1880462,B
2396,アキラメル,諦める,動詞-一般,,和,3839,36.6973624,B
2648,アクセス,アクセス,名詞-普通名詞-サ変可能,access,外,3421,32.7016611,
2123,アクマデ,飽くまで,副詞,,和,4413,42.1842825,B
885,アケル,開ける,動詞-一般,,和,10838,103.6014623,A
229,アゲル,上げる,動詞-非自立可能,,和,38045,363.6757367,A
686,アサ,朝,名詞-普通名詞-副詞可能,,和,13698,130.9404716,B
2424,アサヒ,朝日,名詞-普通名詞-一般,,和,3786,36.1907304,B
636,アシ,足,名詞-普通名詞-一般,,和,14614,139.6966018,B
1214,アジ,味,名詞-普通名詞-一般,,和,7956,76.052153,A
1146,アジア,アジア,名詞-固有名詞-地名-一般,Asia,固,8438,80.6596364,A
2760,アジワウ,味わう,動詞-一般,,和,3238,30.9523468,B
910,アス,明日,名詞-普通名詞-副詞可能,,和,10454,99.9307702,B
1927,アセ,汗,名詞-普通名詞-一般,,和,4904,46.8777977,B
2507,アソビ,遊び,名詞-普通名詞-一般,,和,3641,34.8046618,A
995,アソブ,遊ぶ,動詞-一般,,和,9479,90.6106534,A
2212,アタイ,値,名詞-普通名詞-サ変可能,,和,4215,40.2915818,A
