,rank,lForm,lemma,frequency,pmw,roma,syll,mora,K_acc_A,K_acc_B,wType_和,wType_外,wType_漢,pos_副詞,pos_動詞,pos_名詞,pos_形容詞,len_syll_1,len_syll_2,len_syll_3,len_syll_4,len_syll_5,len_mora_1,len_mora_2,len_mora_3,len_mora_4,len_mora_5,len_mora_6,len_mora_7
3,228,アイダ,間,38094,364.1441323,aida,"['アイ', 'ダ']","['ア', 'イ', 'ダ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,299,アイテ,相手,28953,276.7644527,aite,"['アイ', 'テ']","['ア', 'イ', 'テ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
8,1793,アカ,赤,5281,50.4815762,aka,"['ア', 'カ']","['ア', 'カ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
10,2303,アカチャン,赤ちゃん,4024,38.4657948,akachan,"['ア', 'カ', 'チャン']","['ア', 'カ', 'チャ', 'ン']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
13,1357,アキ,秋,7027,67.1717545,aki,"['ア', 'キ']","['ア', 'キ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
20,686,アサ,朝,13698,130.9404716,asa,"['ア', 'サ']","['ア', 'サ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
21,2424,アサヒ,朝日,3786,36.1907304,asahi,"['ア', 'サ', 'ヒ']","['ア', 'サ', 'ヒ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
22,636,アシ,足,14614,139.6966018,ashi,"['ア', 'シ']","['ア', 'シ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
23,1214,アジ,味,7956,76.052153,aji,"['ア', 'ジ']","['ア', 'ジ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
26,910,アス,明日,10454,99.9307702,asu,"['ア', 'ス']","['ア', 'ス']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
27,1927,アセ,汗,4904,46.8777977,ase,"['ア', 'セ']","['ア', 'セ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
28,2507,アソビ,遊び,3641,34.8046618,asobi,"['ア', 'ソ', 'ビ']","['ア', 'ソ', 'ビ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
30,2212,アタイ,値,4215,40.2915818,atai,"['ア', 'タイ']","['ア', 'タ', 'イ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
33,371,アタマ,頭,23423,223.9026621,atama,"['ア', 'タ', 'マ']","['ア', 'タ', 'マ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
35,778,アタリ,辺り,12126,115.9135756,atari,"['ア', 'タ', 'リ']","['ア', 'タ', 'リ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
46,141,アト,後,63979,611.5812842,ato,"['ア', 'ト']","['ア', 'ト']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
47,2777,アト,跡,3216,30.7420468,ato,"['ア', 'ト']","['ア', 'ト']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
50,1823,アナ,穴,5213,49.8315578,ana,"['ア', 'ナ']","['ア', 'ナ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
52,1264,アニ,兄,7665,73.2704566,ani,"['ア', 'ニ']","['ア', 'ニ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
53,1791,アネ,姉,5285,50.5198125,ane,"['ア', 'ネ']","['ア', 'ネ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
54,2583,アブラ,油,3509,33.5428613,abura,"['ア', 'ブ', 'ラ']","['ア', 'ブ', 'ラ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
59,2653,アマリ,余り,3404,32.5391565,amari,"['ア', 'マ', 'リ']","['ア', 'マ', 'リ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
60,1165,アメ,雨,8319,79.5221042,ame,"['ア', 'メ']","['ア', 'メ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
81,258,イエ,家,33587,321.061295,ie,"['イ', 'エ']","['イ', 'エ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
89,2525,イカリ,怒り,3608,34.4892117,ikari,"['イ', 'カ', 'リ']","['イ', 'カ', 'リ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
90,1589,イキ,息,5969,57.0582329,iki,"['イ', 'キ']","['イ', 'キ']",0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
91,2594,イキオイ,勢い,3492,33.3803567,ikioi,"['イ', 'キ', 'オイ']","['イ', 'キ', 'オ', 'イ']",0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
98,1668,イクラ,幾ら,5666,54.1618274,ikura,"['イ', 'ク', 'ラ']","['イ', 'ク', 'ラ']",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
104,1896,イシ,石,5001,47.8050298,ishi,"['イ', 'シ']","['イ', 'シ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
133,1450,イツ,五,6549,62.6025075,itsu,"['イ', 'ツ']","['イ', 'ツ']",1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
