,rank,lForm,lemma,pos,wType,frequency,pmw,len_syll,len_mora,roma,syll,mora,K_acc_A,K_acc_B
3,228,アイダ,間,名詞,和,38094,364.1441323,2,3,aida,"['アイ', 'ダ']","['ア', 'イ', 'ダ']",1,0
4,299,アイテ,相手,名詞,和,28953,276.7644527,2,3,aite,"['アイ', 'テ']","['ア', 'イ', 'テ']",0,1
8,1793,アカ,赤,名詞,和,5281,50.4815762,2,2,aka,"['ア', 'カ']","['ア', 'カ']",1,0
10,2303,アカチャン,赤ちゃん,名詞,和,4024,38.4657948,3,4,akachan,"['ア', 'カ', 'チャン']","['ア', 'カ', 'チャ', 'ン']",1,0
13,1357,アキ,秋,名詞,和,7027,67.1717545,2,2,aki,"['ア', 'キ']","['ア', 'キ']",0,1
20,686,アサ,朝,名詞,和,13698,130.9404716,2,2,asa,"['ア', 'サ']","['ア', 'サ']",0,1
21,2424,アサヒ,朝日,名詞,和,3786,36.1907304,3,3,asahi,"['ア', 'サ', 'ヒ']","['ア', 'サ', 'ヒ']",0,1
22,636,アシ,足,名詞,和,14614,139.6966018,2,2,ashi,"['ア', 'シ']","['ア', 'シ']",0,1
23,1214,アジ,味,名詞,和,7956,76.052153,2,2,aji,"['ア', 'ジ']","['ア', 'ジ']",1,0
26,910,アス,明日,名詞,和,10454,99.9307702,2,2,asu,"['ア', 'ス']","['ア', 'ス']",0,1
27,1927,アセ,汗,名詞,和,4904,46.8777977,2,2,ase,"['ア', 'セ']","['ア', 'セ']",0,1
28,2507,アソビ,遊び,名詞,和,3641,34.8046618,3,3,asobi,"['ア', 'ソ', 'ビ']","['ア', 'ソ', 'ビ']",1,0
30,2212,アタイ,値,名詞,和,4215,40.2915818,2,3,atai,"['ア', 'タイ']","['ア', 'タ', 'イ']",1,0
33,371,アタマ,頭,名詞,和,23423,223.9026621,3,3,atama,"['ア', 'タ', 'マ']","['ア', 'タ', 'マ']",0,1
35,778,アタリ,辺り,名詞,和,12126,115.9135756,3,3,atari,"['ア', 'タ', 'リ']","['ア', 'タ', 'リ']",1,0
46,141,アト,後,名詞,和,63979,611.5812842,2,2,ato,"['ア', 'ト']","['ア', 'ト']",0,1
47,2777,アト,跡,名詞,和,3216,30.7420468,2,2,ato,"['ア', 'ト']","['ア', 'ト']",0,1
50,1823,アナ,穴,名詞,和,5213,49.8315578,2,2,ana,"['ア', 'ナ']","['ア', 'ナ']",0,1
52,1264,アニ,兄,名詞,和,7665,73.2704566,2,2,ani,"['ア', 'ニ']","['ア', 'ニ']",1,0
53,1791,アネ,姉,名詞,和,5285,50.5198125,2,2,ane,"['ア', 'ネ']","['ア', 'ネ']",1,0
54,2583,アブラ,油,名詞,和,3509,33.5428613,3,3,abura,"['ア', 'ブ', 'ラ']","['ア', 'ブ', 'ラ']",0,1
59,2653,アマリ,余り,名詞,和,3404,32.5391565,3,3,amari,"['ア', 'マ', 'リ']","['ア', 'マ', 'リ']",0,1
60,1165,アメ,雨,名詞,和,8319,79.5221042,2,2,ame,"['ア', 'メ']","['ア', 'メ']",0,1
81,258,イエ,家,名詞,和,33587,321.061295,2,2,ie,"['イ', 'エ']","['イ', 'エ']",0,1
89,2525,イカリ,怒り,名詞,和,3608,34.4892117,3,3,ikari,"['イ', 'カ', 'リ']","['イ', 'カ', 'リ']",1,0
90,1589,イキ,息,名詞,和,5969,57.0582329,2,2,iki,"['イ', 'キ']","['イ', 'キ']",0,1
91,2594,イキオイ,勢い,名詞,和,3492,33.3803567,3,4,ikioi,"['イ', 'キ', 'オイ']","['イ', 'キ', 'オ', 'イ']",0,1
98,1668,イクラ,幾ら,名詞,和,5666,54.1618274,3,3,ikura,"['イ', 'ク', 'ラ']","['イ', 'ク', 'ラ']",1,0
104,1896,イシ,石,名詞,和,5001,47.8050298,2,2,ishi,"['イ', 'シ']","['イ', 'シ']",1,0
133,1450,イツ,五,名詞,和,6549,62.6025075,2,2,itsu,"['イ', 'ツ']","['イ', 'ツ']",1,0
154,1130,イヌ,犬,名詞,和,8495,81.2045047,2,2,inu,"['イ', 'ヌ']","['イ', 'ヌ']",0,1
155,1405,イノチ,命,名詞,和,6737,64.3996172,3,3,inochi,"['イ', 'ノ', 'チ']","['イ', 'ノ', 'チ']",0,1
158,99,イマ,今,名詞,和,95114,909.2036803,2,2,ima,"['イ', 'マ']","['イ', 'マ']",0,1
162,2306,イモウト,妹,名詞,和,4022,38.4466766,3,4,imouto,"['イ', 'モウ', 'ト']","['イ', 'モ', 'ウ', 'ト']",0,1
168,2185,イリ,入り,名詞,和,4276,40.8746866,2,2,iri,"['イ', 'リ']","['イ', 'リ']",1,0
169,2372,イリグチ,入り口,名詞,和,3889,37.1753171,4,4,iriguchi,"['イ', 'リ', 'グ', 'チ']","['イ', 'リ', 'グ', 'チ']",1,0
175,558,イロ,色,名詞,和,16438,157.1323895,2,2,iro,"['イ', 'ロ']","['イ', 'ロ']",0,1
186,167,ウエ,上,名詞,和,50903,486.5865692,2,2,ue,"['ウ', 'エ']","['ウ', 'エ']",1,0
190,1963,ウケツケ,受け付け,名詞,和,4813,46.0079201,4,4,uketsuke,"['ウ', 'ケ', 'ツ', 'ケ']","['ウ', 'ケ', 'ツ', 'ケ']",0,1
194,913,ウゴキ,動き,名詞,和,10433,99.7300292,3,3,ugoki,"['ウ', 'ゴ', 'キ']","['ウ', 'ゴ', 'キ']",0,1
197,1403,ウシロ,後ろ,名詞,和,6749,64.5143264,3,3,ushiro,"['ウ', 'シ', 'ロ']","['ウ', 'シ', 'ロ']",0,1
199,1708,ウソ,嘘,名詞,和,5537,52.9287043,2,2,uso,"['ウ', 'ソ']","['ウ', 'ソ']",1,0
200,1033,ウタ,歌,名詞,和,9230,88.2304389,2,2,uta,"['ウ', 'タ']","['ウ', 'タ']",1,0
202,181,ウチ,内,名詞,和,45175,431.8320779,2,2,uchi,"['ウ', 'チ']","['ウ', 'チ']",1,0
209,1270,ウデ,腕,名詞,和,7604,72.6873519,2,2,ude,"['ウ', 'デ']","['ウ', 'デ']",0,1
212,1495,ウマ,馬,名詞,和,6354,60.7384842,2,2,uma,"['ウ', 'マ']","['ウ', 'マ']",0,1
214,2276,ウマレ,生まれ,名詞,和,4071,38.9150723,3,3,umare,"['ウ', 'マ', 'レ']","['ウ', 'マ', 'レ']",1,0
216,890,ウミ,海,名詞,和,10759,102.8462939,2,2,umi,"['ウ', 'ミ']","['ウ', 'ミ']",0,1
219,1588,ウラ,裏,名詞,和,5979,57.1538239,2,2,ura,"['ウ', 'ラ']","['ウ', 'ラ']",0,1
220,2368,ウリアゲ,売り上げ,名詞,和,3893,37.2135535,4,4,uriage,"['ウ', 'リ', 'ア', 'ゲ']","['ウ', 'リ', 'ア', 'ゲ']",1,0
223,2492,ウワサ,噂,名詞,和,3669,35.0723164,3,3,uwasa,"['ウ', 'ワ', 'サ']","['ウ', 'ワ', 'サ']",1,0
236,2242,エガオ,笑顔,名詞,和,4144,39.6128861,2,3,egao,"['エ', 'ガオ']","['エ', 'ガ', 'オ']",0,1
259,2282,オオガタ,大型,名詞,和,4064,38.8481586,3,4,oogata,"['オオ', 'ガ', 'タ']","['オ', 'オ', 'ガ', 'タ']",0,1
261,418,オオク,多く,名詞,和,20762,198.4659126,2,3,ooku,"['オオ', 'ク']","['オ', 'オ', 'ク']",0,1
267,1997,オカゲ,御陰,名詞,和,4727,45.185838,3,3,okage,"['オ', 'カ', 'ゲ']","['オ', 'カ', 'ゲ']",0,1
274,822,オク,奥,名詞,和,11630,111.1722649,2,2,oku,"['オ', 'ク']","['オ', 'ク']",0,1
283,1528,オジ,伯父,名詞,和,6192,59.1899109,2,2,oji,"['オ', 'ジ']","['オ', 'ジ']",1,0
290,2300,オソレ,恐れ,名詞,和,4025,38.4753539,3,3,osore,"['オ', 'ソ', 'レ']","['オ', 'ソ', 'レ']",0,1
