,rank,lForm,lemma,pos,wType,frequency,pmw,K_acc,len_syll,len_mora,roma,syll,mora
3,228,アイダ,間,名詞,和,38094,364.1441323,A,2,3,aida,"['アイ', 'ダ']","['ア', 'イ', 'ダ']"
4,299,アイテ,相手,名詞,和,28953,276.7644527,B,2,3,aite,"['アイ', 'テ']","['ア', 'イ', 'テ']"
8,1793,アカ,赤,名詞,和,5281,50.4815762,A,2,2,aka,"['ア', 'カ']","['ア', 'カ']"
10,2303,アカチャン,赤ちゃん,名詞,和,4024,38.4657948,A,3,4,akachan,"['ア', 'カ', 'チャン']","['ア', 'カ', 'チャ', 'ン']"
13,1357,アキ,秋,名詞,和,7027,67.1717545,B,2,2,aki,"['ア', 'キ']","['ア', 'キ']"
20,686,アサ,朝,名詞,和,13698,130.9404716,B,2,2,asa,"['ア', 'サ']","['ア', 'サ']"
21,2424,アサヒ,朝日,名詞,和,3786,36.1907304,B,3,3,asahi,"['ア', 'サ', 'ヒ']","['ア', 'サ', 'ヒ']"
22,636,アシ,足,名詞,和,14614,139.6966018,B,2,2,ashi,"['ア', 'シ']","['ア', 'シ']"
23,1214,アジ,味,名詞,和,7956,76.052153,A,2,2,aji,"['ア', 'ジ']","['ア', 'ジ']"
26,910,アス,明日,名詞,和,10454,99.9307702,B,2,2,asu,"['ア', 'ス']","['ア', 'ス']"
27,1927,アセ,汗,名詞,和,4904,46.8777977,B,2,2,ase,"['ア', 'セ']","['ア', 'セ']"
28,2507,アソビ,遊び,名詞,和,3641,34.8046618,A,3,3,asobi,"['ア', 'ソ', 'ビ']","['ア', 'ソ', 'ビ']"
30,2212,アタイ,値,名詞,和,4215,40.2915818,A,2,3,atai,"['ア', 'タイ']","['ア', 'タ', 'イ']"
33,371,アタマ,頭,名詞,和,23423,223.9026621,B,3,3,atama,"['ア', 'タ', 'マ']","['ア', 'タ', 'マ']"
35,778,アタリ,辺り,名詞,和,12126,115.9135756,A,3,3,atari,"['ア', 'タ', 'リ']","['ア', 'タ', 'リ']"
46,141,アト,後,名詞,和,63979,611.5812842,B,2,2,ato,"['ア', 'ト']","['ア', 'ト']"
47,2777,アト,跡,名詞,和,3216,30.7420468,B,2,2,ato,"['ア', 'ト']","['ア', 'ト']"
50,1823,アナ,穴,名詞,和,5213,49.8315578,B,2,2,ana,"['ア', 'ナ']","['ア', 'ナ']"
52,1264,アニ,兄,名詞,和,7665,73.2704566,A,2,2,ani,"['ア', 'ニ']","['ア', 'ニ']"
53,1791,アネ,姉,名詞,和,5285,50.5198125,A,2,2,ane,"['ア', 'ネ']","['ア', 'ネ']"
